TRAIL NUM,1k SELECT,1k DELETE,1k INSERT,1k UPDATE,100K SELECT,100K DELETE,100K INSERT,100K UPDATE
28,0.15945220000000404,0.3286742000000018,0.3305460999999994,0.32197479999999956,0.18863290000001598,0.3237107999999864,0.32608929999997827,0.32936509999998975
29,0.15972000000000008,0.32971859999999964,0.3263847999999996,0.3353400000000022,0.1862841999999887,0.3271058999999923,0.3441387999999961,0.32492439999998624
30,0.15954940000000306,0.32650320000000477,0.3349998999999997,0.3215397000000024,0.18444840000000795,0.3420222000000024,0.3252675000000238,0.3303527999999858
31,0.1598076000000006,0.3383516999999969,0.3261149000000003,0.33564649999999574,0.18956869999999526,0.34387720000000854,0.3435277000000099,0.32905390000001944
32,0.15920009999999962,0.5173324000000008,0.32089250000000646,0.34267350000000363,0.18358440000000087,0.34663549999999077,0.33607150000000274,0.32641780000000153
33,0.1598797999999988,0.33686079999999663,0.3374309000000011,0.32329500000000166,0.18493349999999964,0.3433288000000232,0.3288721000000123,0.3304813000000024
34,0.15958159999999566,0.32710970000000117,0.3267171999999974,0.3346285000000009,0.1894982999999968,0.34358190000000377,0.33458559999999693,0.3651772000000051
35,0.1596226999999999,0.32515049999999945,0.33112990000000053,0.3264777000000052,0.18264249999998583,0.3268215000000225,0.3299086000000102,0.35932410000000914
36,0.15971910000000378,0.3216916000000012,0.3432974000000044,0.3391726999999989,0.1805592000000047,0.32586449999999445,0.32823879999997985,0.34424229999999056
37,0.15991359999999588,0.32476459999999463,0.3263194000000027,0.3263326999999947,0.1810451999999998,0.3329550999999924,0.3336488000000202,0.33496750000000475
38,0.1593839000000017,0.34169079999999497,0.33553959999999705,0.3309581000000037,0.18153879999999845,0.33713399999999183,0.32854340000000093,0.3382652999999891
39,0.15952490000000097,0.32882250000000113,0.32246709999999723,0.3275336999999965,0.18713750000000573,0.32522539999999367,0.3287658999999792,0.33412029999999504
40,0.16042009999999607,0.33707509999999985,0.330283399999999,0.34394989999999837,0.19109729999999558,0.3265403000000049,0.32693009999999845,0.32658749999998804
